修|xiu1
保|bao3
促|cu4
侮|wu3
俭|jian3
俗|su2
俘|fu2
信|xin4
皇|huang2
泉|quan2
鬼|gui3
侵|qin1
追|zhui1
俊|jun4
盾|dun4
待|dai4
律|lv4
很|hen3
须|xu1
叙|xu4
剑|jian4
逃|tao2
食|shi2
盆|pen2
胆|dan3
胜|sheng4
胞|bao1
胖|pang4
脉|mai4
勉|mian3
狭|xia2
狮|shi1
独|du2
狡|jiao3
狱|yu4
狠|hen3
贸|mao4
怨|yuan4
急|ji2
饶|rao2
蚀|shi2
饺|jiao3
饼|bing3
弯|wan1
将|jiang1
奖|jiang3
哀|ai1
亭|ting2
亮|liang4
度|du4
迹|ji4
庭|ting2
疮|chuang1
疯|feng1
疫|yi4
疤|ba1
姿|zi1
亲|qin1
音|yin1
帝|di4
施|shi1
闻|wen2
阀|fa2
阁|ge2
差|cha4
养|yang3
美|mei3
姜|jiang1
叛|pan4
送|song4
类|lei4
迷|mi2
前|qian2
首|shou3
逆|ni4
总|zong3
炼|lian4
炸|zha4
炮|pao4
烂|lan4
剃|ti4
洁|jie2
洪|hong2
洒|sa3
浇|jiao1
浊|zhuo2
洞|dong4
测|ce4
洗|xi3
活|huo2
派|pai4
洽|qia4
染|ran3
济|ji4
洋|yang2
洲|zhou1
浑|hun2
浓|nong2
津|jin1
恒|heng2
恢|hui1
恰|qia4
恼|nao3
恨|hen4
举|ju3
觉|jue2
宣|xuan1
室|shi4
宫|gong1
宪|xian4
突|tu1
穿|chuan1
窃|qie4
客|ke4
冠|guan4
语|yu3
扁|bian3
袄|ao3
祖|zu3
神|shen2
祝|zhu4
误|wu4
诱|you4
说|shuo1
诵|song4
垦|ken3
退|tui4
既|ji4
屋|wu1
昼|zhou4
费|fei4
陡|dou3
眉|mei2
孩|hai2
除|chu2
险|xian3
院|yuan4
娃|wa2
姥|lao3
姨|yi2
姻|yin1
娇|jiao1
怒|nu4
架|jia4
贺|he4
盈|ying2
勇|yong3
怠|dai4
柔|rou2
垒|lei3
绑|bang3
绒|rong2
结|jie2
绕|rao4
骄|jiao1
绘|hui4
给|gei3
络|luo4
骆|luo4
绝|jue2
绞|jiao3
统|tong3
耕|geng1
耗|hao4
艳|yan4
泰|tai4
珠|zhu1
班|ban1
素|su4
蚕|can2
顽|wan2
盏|zhan3
匪|fei3
捞|lao1
栽|zai1
捕|bu3
振|zhen4
载|zai3
赶|gan3
起|qi3
盐|yan2
捎|shao1
捏|nie1
埋|mai2
捉|zhuo1
捆|kun3
捐|juan1
损|sun3
都|dou1
哲|zhe2
逝|shi4
捡|jian3
换|huan4
挽|wan3
热|re4
恐|kong3
壶|hu2
挨|ai1
耻|chi3
耽|dan1
恭|gong1
莲|lian2
莫|mo4
荷|he2
获|huo4
晋|jin4
恶|e4
真|zhen1
框|kuang4
桂|gui4
档|dang4
桐|tong2
株|zhu1
桥|qiao2
桃|tao2
格|ge2
校|xiao4
核|he2
样|yang4
根|gen1
索|suo3
哥|ge1
速|su4
逗|dou4
栗|li4
配|pei4
翅|chi4
辱|ru3
唇|chun2
夏|xia4
础|chu3
破|po4
原|yuan2
套|tao4
逐|zhu2
烈|lie4
殊|shu1
顾|gu4
轿|jiao4
较|jiao4
顿|dun4
毙|bi4
致|zhi4
柴|chai2
桌|zhuo1
虑|lv4
监|jian1
紧|jin3
党|dang3
晒|shai4
眠|mian2
晓|xiao3
鸭|ya1
晃|huang3
晌|shang3
晕|yun4
蚊|wen2
哨|shao4
哭|ku1
恩|en1
唤|huan4
啊|a5
唉|ai4
罢|ba4
峰|feng1
圆|yuan2
贼|zei2
贿|hui4
钱|qian2
钳|qian2
钻|zuan4
铁|tie3
铃|ling2
铅|qian1
缺|que1
氧|yang3
特|te4
牺|xi1
造|zao4
乘|cheng2
敌|di2
秤|cheng4
租|zu1
积|ji1
秧|yang1
秩|zhi4
称|cheng1
秘|mi4
透|tou4
笔|bi3
